Name,Code,Revenue
შპს ლუკოილ ჯორჯია,204976302,60730598
სან პეტროლიუმ ჯორჯია,404391136,49958517
საგზაო კომპანია თბილისი,203825959,27653418
გზა,245525132,27055034
სანი,220016113,27054220
შპს ნიუ კონსტრაქშენ,243917302,26571928
ქართული კვების კომპანია,401960339,24418800
კავკასუს როუდ პროჯექტ,202258243,23753135
ბლექ სი გრუპი,204477734,21851286
თეგეტა მოტორსი,202177205,21404870
ზიმო-7,245424919,19701010
პსპ დაზღვევა,204545572,18722675
რომპეტროლ საქართველო,204493002,18323764
სსელექტრომოძრავი შემადგენლობის სარემონტო ქარხანა თბილისის ფილიალი,209450137,18303781
ცეკური,209442174,15256970
შპს ტელეკომპანია პიკ,202395247,14000000
ტოიოტა ცენტრი თბილისი,211346220,13533171
შპს ნიუ ენერჯი,205026559,13482636
ენგური 2006,202310953,12722778
გზამშენი_4,204388402,12449129
იბოლია,217873031,12072827
გეომშენი-2004,204466513,11631388
მონოლითმშენი,201943870,11153426
აჭარგანათება,245546486,10168090
ანაგი,245416401,10069233
იუჯითი,204892964,9761894
ორნამენტი,202230889,9247170
შპს. გზამშენი-5,243855128,9117483
ჯი პი სი,201991229,8711402
არ-დი-აი,202175840,8555110
საქართველოს სამხედრო გზა,229284191,8492817
არქეოპოლისი,239862038,8326849
ს.ე.ნ.,205218183,7947354
დაგი,205022134,7885165
შ.პ.ს. ალგორითმი,205043237,7759457
შპს უნიგრუპი,205054894,7633458
საგზაო სამშენებლო სამმართველო №1,217890584,7412341
სუფთა სამყარო,204490096,7375829
ავერსი-გეოფარმი,203834075,7358365
სამედიცინო დაზღვევის ჯგუფი ს.ს. არქიმედეს გლობალ ჯორჯია,204543869,7246723
სილქნეტი,204566978,7172872
საქართველოს ჰემოფილიისა და დონორობის ასოციაცია,204861202,6891777
მოწინავე სამედიცინო ტექნოლოგიები და სერვისი,202059725,6842397
არტესი,205230212,6799590
ბორანი,231960296,6755762
არალი,222725807,6675970
ტ და გ,205221687,6492270
ტრანსმშენი,212274812,6479072
ნდს მშენებლობა,206046795,6214702
საგზაო-სამშენებლო-სარემონტო კომპანია სერპანტინი,231165529,6191369
მემონტაჟე ნიკა,206035832,6164488
გრინსერვისი,206281236,6088541
პრიზმა,200022723,5816028
ფუდსერვისი,205179849,5587170
მტმ,431945078,5384555
მამისონი,205204250,5287161
ტობე,212817610,5262752
სადაზღვევო კომპანია ჯიპიაიჰოლდინგი,204426674,5135958
ჯორჯიან ბრიჯ ქონსთრაქშენ,404878405,5127570
შპს NAREM CBM,445387830,4779184
შ.პ.ს. ალტა,211380691,4708873
გზები,245425393,4650069
ავტობანი,202268946,4623767
ავტომობილი2003,216398226,4616408
გზაჯვარედინი,206143298,4558766
ნეოტექი,206201698,4519588
ამბროლაურის ავტოგზა # 10,222934243,4430118
შპსგზები და კეთილმოწყობა,202399920,4259417
შპს RSP-40,202364832,4237229
ნიუ მეტალ ჯორჯია,404380629,4009472
შპს ბიზნეს ჯგუფი 2010,208141321,3999313
შპს ვერელი +,218064341,3970797
პსპ ფარმა,202203123,3794550
სპეცმონტაჟმშენი-2007,200225531,3783812
ტექსუსი,204450325,3761809
ტ.ტ.,206169509,3661735
ჯ და ჯ,221269080,3499197
სს სამშენებლო საწარმო გაერთიანება იმერეთი,230028145,3433006
FIN-ESTATE,401959136,3396354
ელფია,208144220,3381072
სამშენებლო კომპანია ბათუმი,445388303,3331519
იბერია21,212677968,3264961
ფიროსმანი,245423956,3239187
ორიენტ ლოჯიკ,202052054,3108183
დელტა სისტემსი,205256131,3016813
კომპანია მედინსერვი,201951094,2993369
საქმილსადენმშენი,221267064,2990716
ნიტექსი,204525852,2949321
კავკასია პლიუსი,205083201,2859470
თემა,216400598,2845317
ბერძელქვა-20,406024573,2807199
ალიანსი-2007,200216630,2805097
შპს. საავტომობილო გზების რეაბილიტაციისა და მოდერნიზაციის ზედამხედველობის დირექცია,212272477,2800000
