Source,Target,Type,Id,Label,Weight
2,1,Undirected,1,,1
3,1,Undirected,2,,1
1927,1,Undirected,3,,1
2368,2,Undirected,4,,1
2933,2,Undirected,5,,1
5479,2,Undirected,6,,1
6900,2,Undirected,7,,1
132,3,Undirected,8,,1
1632,3,Undirected,9,,1
2729,3,Undirected,10,,1
3218,3,Undirected,11,,1
4433,3,Undirected,12,,1
5108,3,Undirected,13,,1
5805,3,Undirected,14,,2
7226,3,Undirected,15,,2
7458,3,Undirected,16,,1
5,4,Undirected,17,,1
238,4,Undirected,18,,1
174,5,Undirected,19,,1
519,5,Undirected,20,,1
541,5,Undirected,21,,1
625,5,Undirected,22,,2
1045,5,Undirected,23,,1
1242,5,Undirected,24,,2
1973,5,Undirected,25,,1
1991,5,Undirected,26,,1
2053,5,Undirected,27,,1
2056,5,Undirected,28,,2
2061,5,Undirected,29,,1
2101,5,Undirected,30,,1
2102,5,Undirected,31,,1
2197,5,Undirected,32,,2
2199,5,Undirected,33,,1
2270,5,Undirected,34,,1
2354,5,Undirected,35,,7
2433,5,Undirected,36,,1
2434,5,Undirected,37,,1
2540,5,Undirected,38,,3
2625,5,Undirected,39,,2
2650,5,Undirected,40,,3
2836,5,Undirected,41,,1
2962,5,Undirected,42,,2
2970,5,Undirected,43,,1
3117,5,Undirected,44,,4
3203,5,Undirected,45,,3
3261,5,Undirected,46,,1
3325,5,Undirected,47,,2
3373,5,Undirected,48,,2
3438,5,Undirected,49,,1
3577,5,Undirected,50,,1
3588,5,Undirected,51,,3
3692,5,Undirected,52,,3
3703,5,Undirected,53,,3
3721,5,Undirected,54,,1
3760,5,Undirected,55,,1
3813,5,Undirected,56,,2
3818,5,Undirected,57,,1
3881,5,Undirected,58,,1
3905,5,Undirected,59,,1
4064,5,Undirected,60,,2
4066,5,Undirected,61,,2
4112,5,Undirected,62,,4
4204,5,Undirected,63,,2
4260,5,Undirected,64,,2
4261,5,Undirected,65,,1
4271,5,Undirected,66,,2
4294,5,Undirected,67,,1
4340,5,Undirected,68,,1
4405,5,Undirected,69,,1
4432,5,Undirected,70,,2
4451,5,Undirected,71,,1
4452,5,Undirected,72,,1
4466,5,Undirected,73,,3
4497,5,Undirected,74,,1
4588,5,Undirected,75,,1
4597,5,Undirected,76,,4
4617,5,Undirected,77,,1
4621,5,Undirected,78,,1
4639,5,Undirected,79,,1
4653,5,Undirected,80,,3
4654,5,Undirected,81,,1
4669,5,Undirected,82,,1
4691,5,Undirected,83,,1
4694,5,Undirected,84,,1
4698,5,Undirected,85,,2
4701,5,Undirected,86,,2
4715,5,Undirected,87,,1
4777,5,Undirected,88,,1
4779,5,Undirected,89,,2
4797,5,Undirected,90,,3
4807,5,Undirected,91,,1
4817,5,Undirected,92,,1
4844,5,Undirected,93,,1
4856,5,Undirected,94,,3
4878,5,Undirected,95,,1
4898,5,Undirected,96,,3
4910,5,Undirected,97,,2
4911,5,Undirected,98,,1
4976,5,Undirected,99,,1
4999,5,Undirected,100,,1
5000,5,Undirected,101,,1
5036,5,Undirected,102,,1
5037,5,Undirected,103,,1
5067,5,Undirected,104,,2
5070,5,Undirected,105,,1
5082,5,Undirected,106,,3
5083,5,Undirected,107,,5
5098,5,Undirected,108,,1
5100,5,Undirected,109,,1
5115,5,Undirected,110,,1
5116,5,Undirected,111,,1
5143,5,Undirected,112,,1
5148,5,Undirected,113,,1
5160,5,Undirected,114,,2
5197,5,Undirected,115,,1
5213,5,Undirected,116,,1
5258,5,Undirected,117,,3
5265,5,Undirected,118,,2
5268,5,Undirected,119,,5
5320,5,Undirected,120,,2
5380,5,Undirected,121,,2
5385,5,Undirected,122,,1
5441,5,Undirected,123,,2
5490,5,Undirected,124,,1
5491,5,Undirected,125,,1
5552,5,Undirected,126,,1
5580,5,Undirected,127,,1
5634,5,Undirected,128,,1
5687,5,Undirected,129,,2
5695,5,Undirected,130,,3
5724,5,Undirected,131,,2
5849,5,Undirected,132,,3
5958,5,Undirected,133,,2
6103,5,Undirected,134,,2
6141,5,Undirected,135,,2
6228,5,Undirected,136,,1
6238,5,Undirected,137,,2
6269,5,Undirected,138,,1
6335,5,Undirected,139,,5
6347,5,Undirected,140,,1
6350,5,Undirected,141,,1
6368,5,Undirected,142,,1
6383,5,Undirected,143,,1
6398,5,Undirected,144,,1
6410,5,Undirected,145,,1
6414,5,Undirected,146,,2
6415,5,Undirected,147,,1
6488,5,Undirected,148,,1
6507,5,Undirected,149,,1
6515,5,Undirected,150,,7
6558,5,Undirected,151,,1
6677,5,Undirected,152,,1
6725,5,Undirected,153,,2
6801,5,Undirected,154,,1
6819,5,Undirected,155,,2
6861,5,Undirected,156,,3
6882,5,Undirected,157,,2
6950,5,Undirected,158,,3
6961,5,Undirected,159,,1
6966,5,Undirected,160,,2
6975,5,Undirected,161,,1
6976,5,Undirected,162,,1
6982,5,Undirected,163,,1
6986,5,Undirected,164,,1
7036,5,Undirected,165,,1
7040,5,Undirected,166,,5
7041,5,Undirected,167,,1
7058,5,Undirected,168,,1
7060,5,Undirected,169,,1
7064,5,Undirected,170,,1
7080,5,Undirected,171,,2
7085,5,Undirected,172,,1
7091,5,Undirected,173,,1
7148,5,Undirected,174,,1
7149,5,Undirected,175,,2
7169,5,Undirected,176,,2
7186,5,Undirected,177,,1
7193,5,Undirected,178,,1
