Id,Label
1,ოფის1
2,ჯეოსელი
3,დაზღვევის საერთაშორისო კომპანია ირაო
4,დავით რობაქიძე
5,შპს ,,რიალ აუდიტი"
6,აუდიტი-2002
7,გიორგი ქადაგიშვილი
8,თეგეტა მოტორსი
9,მომავალთათვის
10,ია ემირიძე
11,ბე–დი+
12,პარაგონი
13,ლელა ჯაში
14,შ.პ.ს ''ნიუ-კარტი''
15,დოდო რიბაკოვი
16,გიმანი
17,საქართველოს შსს. დაცვის პოლიციის დეპარტამენტი
18,შპს „BGI“
19,შპს ჯეო-ტრენდი
20,შპს ჯორჯია ოილი
21,შპს  უნივერსალ ჯგუფი
22,დენტსტალ დენტი
23,ჰეფი თრეველი
24,შპს GBG
25,ჯეოსტილი
26,შპს "ელიტელი"
27,მაი მობაილ +
28,ტარიელ ზურაბაშვილი
29,აჭარკაპმშენი
30,შ.პ.ს. ''აბული გ''
31,რევაზ თოდრია
32,აჭარსპეცპროექტი
33,შპს ლეგიონერი
34,ევოკო ჯგუფი
35,ახალი მთვარე
36,EL-GROUP
37,დანი
38,საქკაბელი
39,არქმშენი
40,ახალი ქსელები
41,როლანდი ძინძიბაძე
42,ცირა ქავთარაძე
43,ქლინეს
44,კანც პაპერი
45,შპს "ევრო ოფისი"
46,სსიპ საზოგადოებრივი კოლეჯი "ახალი ტალღა"
47,ბათუმის პროფესიული სწავლების ცენტრი
48,"ვია ვიტა"
49,ქეჩერა
50,სს "ბეჭდვითი სიტყვის კომბინატი"
51,სადაზღვევო კომპანია ალდაგი ბისიაი
52,ავტოტრანს სერვისი
53,ჯი ეს იუნიტი
54,დივაის სერვისი
55,შპს თამარი–2011
56,აკვალაინი
57,შპს მაქეთა
58,სადაზღვევო კომპანია ჯიპიაიჰოლდინგი
59,უნივერსალი 7
60,შპს ჯითიპრინტი
61,ტრეიდ პრო
62,ექსპოგრაფი
63,შ.პ.ს პროსერვისი
64,საინფორმაციო ტექნოლოგიების განვითარების ცენტრი
65,ქეთევან მაღულარია
66,შპს ეისი ჯგუფი
67,გელა პატარაია
68,შპს "ელ სი თი"
69,"ფორმატი"
70,შპს პენსან ჯორჯია
71,გეოსერვისი+
72,შპს გეო ლოდი
73,საქმილსადენმშენი
74,"პოლიგრაფი"
75,კაცხი
76,კოწიწაშვილი და კომპანია
77,"სანატორიუმი სასტუმრო ოაზისი"
78,სადაზღვევო კომპანია ალფა
79,მანტა სისტემსი
80,სინპოლარი
81,გრუპ ალდ
82,გეოსტონი
83,ფავორიტი სტილი
84,შპს ევრო-ბილდინგი +
85,შპს ვექტორი
86,შპს დიტო
87,შპს კობი ჯგუფი
88,შპს თბილისი
89,ელ+
90,ჯი-თი გრუპ
91,შპს "იბერია ტექ ავტომოტივი"
92,შპს ფარმატექი
93,დაფა
94,შპს ბუნება
95,ინტეგრა
96,შპს ,,თორნიკე"
97,ი.მ ირაკლი შამატავა
98,შპს new paper
99,ი/მ ნანა გეგუჩაძე
100,სასკო
101,შპს უნივერსალი
102,საქართველოს სამეცნიერო-საგანმანათლებლო კომპიუტერული ქსელების ასოციაცია - გრენა
103,აი თი დი სი
104,"გიორგი მუშკუდიანი"
105,გლობალ სერვისი
106,შპს   მშენებელი XXI+
107,შპს ,,გონი77"
108,ი/მ "გიორგი ახვლედიანი"
109,ნიუ სერვისი
110,ტოიოტა ცენტრი თბილისი
111,ნიუ პოინტ
112,ხალი
113,კარგო ლოჯისთიქს  გრუფ  ჯორჯია
114,გ და დ
115,შპს Instal Service
116,ჭიათურმშენი
117,შპს შენგმშენი
118,შპს  ,,გიორგიწმინდა1"
119,შპს "თბილსათბობმშენი"
120,გრანიტი
121,ინტერტექნოლოგი
122,პარმა
123,"ზურაბი მეშველინი"
124,ბესიკ ბარნოვი
125,კარიზი
126,შპს ინტერსტილი
127,შპს ტესლა
128,კობა მარიამიძე-ლიზიკო
129,"სუფთა სამყარო"
130,შპს SKY GROUP
131,შპს "ა-ნეტ" (A-NET) - ინტერნეტ-სერვისის პროვაიდერი
132,წიგნის სამყარო
133,შპს იგლ ექსპრეს
134,გაზეთი ჭიათურა
135,ბუროსიტი
136,შ.პ.ს. "ალტა"
137,შ.პ.ს. "ალგორითმი"
138,ტელკო სისტემს
139,სილქნეტი
140,შპს "კავკასუს ონლაინი"
141,ესაბი
142,ორიენტ ლოჯიკ
143,დელტა-კომმი «DELTA-COMM»
144,დომინო
145,შ.პ.ს.  გუგა
146,გელა დარახველიძე
147,გიორგი ხაჭაპურიძე
148,შპს TU-KA
149,ზაურ ზაზიკაშვილი
150,შპს ლიზი
151,ბაგრატ მელითაური
152,ლავრენტ ბურდული
153,გლობალ ტექნოლოჯი გრუპ
154,შპს დუშეთის დეზინფექციის სამსახური
155,დუშეთის მუნიციპალიტეტის დასუფთავებისა და კეთილმოწყობის სამსახური
156,პატრონ ჯორჯია
157,შპს ,,ექსბი"
158,"სადაზღვევო კომპანია აი სი ჯგუფი"
159,მარკა
160,კაპანაძე გიორგი
161,ირმა წიქარიშვილი
162,ალზუ
163,პირველი-მ
164,დიზაინი XXI
165,შპს EMI
166,შპს ევროსტანდარტი
167,გრინ-ლაითი+
168,"აისბერგი-XX1"
169,შპს INTERGOLD
170,მინდოზა
171,NEW STYLE
172,TRUST COLLABORATION
173,დემურ ტარიელაძე
174,შპს :ნ.მ. 2007"
175,,,სხალთა 2007"
176,შ.პ.ს ”ძმები”
177,შპს ქოლორ ჯორჯია
178,გამა
179,პსპ ქუთაისი
180,ავერსი-გეოფარმი
181,დავით სანთელაძე
182,ტემპერა
183,მაკაგონი
184,ბაძო
185,მეგა ბემონი
186,"ეტალონი-2007"
187,შპს სერვისი
188,შპს "ავტოტესტ გეორგია"
189,სპეცენერგორემონტი
190,SmartNet
191,კომპუს ბათუმი
192,ვახტანგ მაკარაძე
193,დიო
194,Geosm
195,აქვა-ტერრა
196,ტატიანა მგელაძე
197,ფორესთ კონსალტინგი
198,მაკა ზაალიშვილი საბა
199,იმედი
200,LMC
201,ი/მ ,,რევაზ დიდმანიძე"
202,ტაბა
203,შ.პ.ს GTK
204,მამუკა გიგაური
205,სოფთლაინ საქართველო
206,შპს "ტექნო სერვისი"
207,ოთარველიაშვილი
208,კომპაუდი
209,შპს "აუდიტ-ეკონომიქსი"
210,შ.პ.ს. ახვლედიანი აუდიტ კონსალტინგი
211,აუდიტსერვისი 2009
212,შპს    VEST
213,ბორან ლაითი
214,შპს Creative light
215,ა-პრო
216,ბ.ს.ბ.-კომპანია
217,პისი ქორნერ
218,შპს  სამშენებლო კომპანია გოლდი
219,ოცნება XXI
220,როლანდ ქამადაძე
221,ოთარი ჯაფარიძე
222,შპს ტემპი-7
223,ნექსთ ჯი თი
224,შპს ULTRA +
225,ინტერლაბი
226,ჰუმან დიაგნოსტიკ ჯორჯია
227,შპს "ექსპრესდიაგნოსტიკა"
228,ჯრკომ
229,შპს ალფა-კომი
230,გიორგი ვართანოვი
231,შპს ფილტრის სახლი
232,მე და შენ
233,შპს "ჯეოლაით"
234,შ.პ.ს "სხივი"
235,მბს
236,ვახტანგიხიმშიაშვილი
237,შპს  ლუკა
238,მერაბ დიასამიძე
239,ჯი პი სი
240,ივერმედი
241,პი.ემ.ჯი
242,რევაზ ხუხუნაიშვილი
243,შპს არტიფექსი
244,ლენი XXI
245,კომბიტეკი
246,შპს B.R.D. Company
247,იმერი-მოტორსი
248,D&L
249,ვი დი ჯი გრუპი
250,ბრენდა იბერია
251,ტრანს მაგისტრალი
252,"ვასო2009"
253,მედიკალ ტექნოლოგი
254,შპს გიორგი-31
255,ერთგულება+
256,შპს ეკობანი
257,"ჯამბულ პაპავა"
258,ავროგე-12
259,საქართველოს სოციალური განვითარებისათვის
260,შპს იბერ-თი
261,შპს EN STYLE
262,ცაბუ გოგუა
263,ვინდლაიფ
264,შპს "კაბადონი +"
265,შპს ალვა - 2008
266,ჯი აი სი ჯორჯია
267,"კლინტექ"
268,რელე2
269,დათო პაპავა
