Code,Description
,
03000000,"Agricultural, farming, fishing, forestry and related products."
03100000,Agricultural and horticultural products.
03110000,"Crops, products of market gardening and horticulture."
03111000,Seeds.
03111100,Soya beans.
03111200,Peanuts.
03111300,Sunflower seeds.
03111400,Cotton seeds.
03111500,Sesame seeds.
03111600,Mustard seeds.
03111700,Vegetable seeds.
03111800,Fruit seeds.
03111900,Flower seeds.
03112000,Unmanufactured tobacco.
03113000,Plants used for sugar manufacturing.
03113100,Sugar beet.
03113200,Sugar cane.
03114000,Straw and forage.
03114100,Straw.
03114200,Forage.
03115000,Raw vegetable materials.
03115100,Raw vegetable materials used in textile production.
03115110,Cotton.
03115120,Jute.
03115130,Flax.
03116000,Natural rubber and latex and associated products.
03116100,Natural rubber.
03116200,Natural latex.
03116300,Latex products.
03117000,Plants used in specific fields.
03117100,"Plants used in perfumery or pharmacy, or for insecticidal or similar purposes."
03117110,Plants used in perfumery.
03117120,Plants used in pharmacy.
03117130,Plants used for insecticidal purposes.
03117140,Plants used for fungicidal or similar purposes.
03117200,Seeds of plants used in specific fields.
03120000,Horticultural and nursery products.
03121000,Horticultural products.
03121100,"Live plants, bulbs, roots, cuttings and slips."
03121200,Cut flowers.
03121210,Floral arrangements.
03130000,Beverage and spice crops.
03131000,Beverage crops.
03131100,Coffee beans.
03131200,Tea bushes.
03131300,Maté.
03131400,Cocoa beans.
03132000,Unprocessed spices.
03140000,Animal products and related products.
03141000,Bulls' semen.
03142000,Animal products.
03142100,Natural honey.
03142200,Snails.
03142300,Edible products of animal origin.
03142400,Waxes.
03142500,Eggs.
03143000,Products of mixed farming.
03144000,Agricultural supplies.
03200000,"Cereals, potatoes, vegetables, fruits and nuts."
03210000,Cereals and potatoes.
03211000,Cereals.
03211100,Wheat.
03211110,Durum wheat.
03211120,Soft wheat.
03211200,Maize.
03211300,Rice.
03211400,Barley.
03211500,Rye.
03211600,Oats.
03211700,Malt.
03211900,Grain products.
03212000,Potatoes and dried vegetables.
03212100,Potatoes.
03212200,Dried leguminous vegetables and pulses.
03212210,Dried leguminous vegetables.
03212211,Lentils.
03212212,Chick peas.
