03000000,სოფლის მეურნეობის ფერმერული თევზის რეწვის ხე-ტყისა და მათთან დაკავშიებული პროდუქტები
﻿03100000,სოფლის მეურნეობისა და ბაღჩეული პროდუქტები
03110000,მარცვლეული ბოსტნეული და ბაღჩეული პროდუქტები
03111000,თესლები
03111100,სოიის მარცვლები
03111200,მიწის თხილი/არაქისი
03111300,მზესუმზირის თესლი
03111400,ბამბის თესლი
03111500,სეზამის თესლი
03111600,მდოგვის თესლი
03111700,ბოსტნეულის თესლი
03111800,ხილის თესლი
03111900,ყვავილების თესლი
03112000,ნედლი/გადაუმუშავებელი თამბაქო
03113000,შაქრის წარმოებაში გამოყენებული მცენარეები
03113100,შაქრის ჭარხალი
03113200,შაქრის ლერწამი
03114000,ჩალა და ფურაჟი
03114100,ჩალა
03114200,ფურაჟი
03115000,ბოსტნეულის ნედლეული
03115100,საფეიქრო წარმოებაში გამოყენებული ბოსტნეულის ნედლეული
03115110,ბამბა
03115120,ჯუთი
03115130,სელი
03116000,ბუნებრივი რეზინი და ლატექსი (მცენარეული რძეწვენი) და მონათესავე პროდუქტები
03116100,ბუნებრივი რეზინი
03116200,ბუნებრივი ლატექსი (მცენარეული რძეწვენი)
03116300,ლატექსის (მცენარეული რძეწვენის) პროდუქტები
03117000,სპეციფიკურ დარგებში გამოყენებული მცენარეები
03117100,პარფიუმერიაში ან ფარმაციაში ან მავნებელი მწერების მოსასპობად ან მსგავსი მიზნით გამოყენებული მცენარეები
03117110,პარფიუმერიაში გამოყენებული მცენარეები
03117120,ფარმაციაში გამოყენებული მცენარეები
03117130,მავნებელი მწერების მოსასპობად გამოყენებული მცენარეები
03117140,ფუნგიციდური ან მსგავსი მიზნით გამოყენებული მცენარეები
03117200,სპეციფიკურ დარგებში გამოყენებული მცენარეების თესლები
03120000,ბაღჩეული და სასათბურე პროდუქტები
03121000,ბაღჩეული პროდუქტები
03121100,ცოცხალი მცენარეები ბოლქვები ფესვები ყლორტები და ამონაყრები
03121200,დაკრეფილი ყვავილები
03121210,ყვავილების თაიგულები
03130000,კულტურები რომლებისგანაც მზადდება სასმელები და სუნელები
03131000,კულტურები რომლებისგანაც მზადდება სასმელები
03131100,ყავის მარცვლები
03131200,ჩაის ბუჩქები
03131300,მატე
03131400,კაკაოს მარცვლები
03132000,ნედლი/დაუმუშავებელი სუნელები
03140000,ცხოველური პროდუქტები და დაკავშირებული პროდუქტები
03141000,ხარის სპერმა
03142000,ცხოველური პროდუქტები
03142100,ნატურალური თაფლი
03142200,ლოკოკინები
03142300,ცხოველური წარმოშობის საკვები პროდუქტები
03142400,ცვილი
03142500,კვერცხი
03143000,მეცხოველეობა-მემინდვრეობის პროდუქტები
03144000,სასოფლო-სამეურნეო პროდუქცია
03200000,ბურღულეული კარტოფილი ბოსტნეული ხილი და თხილეული
03210000,ბურღულეული და კარტოფილი
03211000,ბურღულეული
03211100,ხორბალი
03211110,მაგარი ხორბალი
03211120,რბილი ხორბალი
03211200,სიმინდი
03211300,ბრინჯი
03211400,ქერი
03211500,ჭვავი
03211600,შვრია
03211700,ალაო
03211900,მარცვლეული პროდუქტები
03212000,კარტოფილი და ხმელი ბოსტნეული
03212100,კარტოფილი
03212200,ხმელი პარკოსანი ბოსტნეული და მარცვლოვანი პარკოსნები
03212210,ხმელი პარკოსანი ბოსტნეული
03212211,ოსპი
03212212,თურქული ბარდა
03212213,ხმელი ბარდა
03212220,მარცვლოვანი პარკოსნები
03220000,ბოსტნეული ხილი და თხილეული
03221000,ბოსტნეული
03221100,ბოლქვიანი და გორგლიანი ბოსტნეული
03221110,ბოლქვიანი ბოსტნეული
03221111,შაქრის ჭარხალი
03221112,სტაფილო
03221113,ხახვი
03221114,თალგამი
03221120,გორგლიანი ბოსტნეული
03221200,ნაყოფიანი ბოსტნეული
03221210,პარკოსნები
03221211,მინდვრის ლობიო
03221212,მწვანე ლობიო
03221213,წითელი ლობიო
03221220,ბარდა
03221221,ბაღჩის ბარდა
03221222,შაქრის ბარდა
03221230,წიწაკა
03221240,პომიდორი
03221250,ყაბაყი
03221260,სოკო
03221270,კიტრი
03221300,ფოთლოვანი ბოსტნეული
03221310,სალათა
03221320,სალათის ფოთლები
03221330,არტიშოკი
03221340,ისპანახი
03221400,კომბოსტო და კომბოსტოს ჯიშის ბოსტნეული
03221410,კომბოსტო
03221420,ყვავილოვანი კომბოსტო
03221430,ბროკოლი
03221440,ბრიუსელის კომბოსტო
03222000,ხილი და თხილეული
03222100,ტროპიკული ხილი და თხილეული
03222110,ტროპიკული ხილი
03222111,ბანანი
03222112,ანანასი
03222113,მანგო
03222114,ფინიკი
03222115,ქიშმიში
03222116,ლეღვი
03222117,ავოკადო
03222118,კივი
03222120,ქოქოსი
03222200,ციტრუსები
03222210,ლიმონი
03222220,ფორთოხალი
03222230,გრეიფრუტი
03222240,მანდარინი
03222250,ლაიმი
03222300,არატროპიკული ხილი
03222310,კენკროვანი ხილი
03222311,მოცხარი
03222312,ხურტკმელი
03222313,მარწყვი/ხენდრო
03222314,ჟოლო
03222315,შტოში
03222320,ვაშლი მსხალი და კომში
03222321,ვაშლი
03222322,მსხალი
03222323,კომში
03222330,კურკოვანი ხილი
03222331,გარგარი
03222332,ატამი
03222333,ალუბალი
03222334,ქლიავი
03222340,ყურძენი
03222341,სუფრის ყურძენი
03222342,საღვინე ყურძენი
03222400,ზეთისხილი
03300000,მეცხოველეობის პროდუქტები ნანადირევი და თევზჭერის პროდუქტები
03310000,თევზი კიბოსნაირნი და ზღვის პროდუქტები
03311000,თევზი
03311100,ქამბალასნაირნი
03311110,ზღვის ენა
03311120,ქამბალა
03311200,ვირთევზას ოჯახის თევზები
03311210,ვირთევზა
03311220,საიდა
03311230,ხეკი
03311240,პიქშა
03311300,ქაშაყი
03311400,თინუსი
03311500,მერლანგი
03311600,ლიფსიტა
03311700,ორაგული
03312000,კიბოსნაირნი
03312100,ხამანწკები
03312200,მოლუსკები
03312300,წყლის უხერხემლოები
03313000,ზღვის პროდუქტები
03313100,მარჯანი და მსგავსი პროდუქტები
03313200,ბუნებრივი ღრუბელები
03313300,ზღვის წყალმცენარეები
03313310,წყალმცენაარები
03320000,მსხვილფეხა რქოსანი პირუტყვი საქონელი და წვრილფეხა საქონელი
03321000,მსხვილფეხა რქოსანი პირუტყვი
03321100,მსხვილფეხა რქოსანი პირუტყვი
03321200,ხბორები
03322000,საქონელი
03322100,ცხვარი
03322200,თხები
03322300,ცხენები
03323000,ღორები
03324000,ცოცხალი შინაური ფრინველი
03325000,პატარა ცხოველები
03325100,ბოცვრები
03325200,კურდღლები
03330000,ცხოველური წარმოშობის სასოფლო-სამეურნეო პროდუქცია
03331000,ცხვრისა და თხის ახალი რძე
03331100,ცხვრის რძე
03331200,თხის რძე
03332000,მატყლი და ცხოველის ბეწვი
03332100,განაკრეჭი მატყლი
03332200,ცხოველის ბეწვი
03333000,ძროხის ახალი რძე
03340000,ცხოველის ბირკები/საჭდეები
03341000,მსხვილფეხა (რქოსანი) პირუტყვის ბირკები/საჭდეები
03400000,მეტყევეობისა და ტყეკაფვის პროდუქტები
03410000,ხე-ტყე
03411000,წიწვოვანი ჯიშის მერქანი
03412000,ტროპიკული ჯიშის მერქანი
03413000,საწვავი ხის მასალა (შეშა)
03414000,დაუმუშავებელი ხე-ტყე
03415000,რბილმერქნიანი ხე-ტყე
03416000,ხე-ტყის ნარჩენები
03417000,ნაფოტები
03417100,ნახერხი
03418000,მორები
03418100,მყარმერქნიანი ხე-ტყე
03419000,სამასალე მერქანი
03419100,სამასალე მერქნის პროდუქტები
03419200,სამაგრი ხე-ტყე შახტებისთვის
03420000,გუმფისი (ხის წებო)
03421000,ბალზამები
03422000,ლაქი
03430000,კორპი
03431000,ბუნებრივი კორპი
03432000,მოწნული კალათები
03432100,მოწნული ნივთები
03440000,მეტყევეობის პროდუქტები
03441000,დეკორატიული მცენარეები ბალახი ხავსი ან ხავსურა
03450000,სანერგე მეურნეობის პროდუქცია
03451000,მცენარეები
03451100,ნერგები ჩითილები
03451200,ყვავილების ბოლქვები
03451300,ბუჩქები
03452000,ხეები
03460000,რბილობი
03461000,ხის რბილობი
03461100,ქიმიურად დამუშავებული ხის რბილობი - ცელულოზა
09000000,ნავთობპროდუქტები საწვავი ელექტროობა და ენერგიის სხვა წყაროები
09100000,საწვავი
09110000,მყარი საწვავი
09111000,ქვანახშირი და ქვანახშირის საწვავი
09111100,ქვანახშირი
09111200,ქვანახშირის საწვავი
09111210,ანტრაციტი
09111220,ნახშირის ბრიკეტები
09111300,წიაღისეული საწვავი
09111400,მერქნოვანი საწვავი
09112000,ლიგნიტი (მურა ნახშირი) და ტორფი
09112100,ლიგნიტი (მურა ნახშირი)
09112200,ტორფი
09113000,კოქსი
09120000,აიროვანი საწვავი
09121000,ქვანახშირის აირი მილსადენის გაზი ან მსგავსი აირები
09121100,ქვანახშირის აირი ან მსგავსი აირები
09121200,მილსადენის გაზი
09122000,პროპანი და ბუტანი
09122100,პროპანი
09122110,თხევადი პროპანი
09122200,ბუტანი
09122210,თხევადი ბუტანი
09123000,ბუნებრივი აირი
09130000,ნავთობი და დისტილატები
09131000,საავიაციო ნავთი
09131100,საავიაციო საწვავი
09132000,ბენზინი
09132100,არაეთილირებული ბენზინი
09132200,ეთილირებული ბენზინი
09132300,ეთანოლიანი ბენზინი
09133000,ნავთობის გათხევადებული გაზი (LPG)
09134000,გაზოილი
09134100,დიზელის ზეთი
09134200,დიზელის საწვავი
09134210,დიზელის საწვავი (02)
09134220,დიზელის საწვავი (EN 590)
09134230,ბიოდიზელი
09134231,ბიოდიზელი (B20)
09134232,ბიოდიზელი (B100)
09135000,მაზუთი
09135100,სათბობი მიზნით გამოყენებული მაზუთი
09135110,საწვავი ზეთები გოგირდის დაბალი შემცველობით
09200000,ნავთობი ქვანახშირი და ნავთობპროდუქტები
09210000,საპოხი მასალები
09211000,საპოზი ზეთები და საპოხი აგენტები
09211100,ძრავის ზეთები
09211200,კომპრესორის საპოხი ზეთები
09211300,ტურბინის საპოხი ზეთები
09211400,ტრანსმისიური ზეთები
09211500,რედუქტორის ზეთები
09211600,ჰიდრავლიკურ სისტემებში და სხვა მიზნებით გამოსაყენებელი ზეთები
09211610,ჰიდრავლიკური მიზნებისათვის გამოსაყენებელი სითხეები
09211620,საწმენდი ზეთები
09211630,ანტიკოროზიული ზეთები
09211640,ელექტროიზოლატორის სახით გამოსაყენებელი ზეთები
09211650,სამუხრუჭე სითხეები
09211700,თეთრი ზეთები და თხევადი პარაფინი
09211710,თეთრი ზეთები
09211720,თხევადი პარაფინი
09211800,მინერალური ზეთები და ბენზინის პროდუქტები
09211810,მსუბუქი ზეთები
09211820,მინერალური ზეთები
09211900,ამძრავის საპოხი ზეთები
09220000,ვაზელინი ნავთობის ცვილი და სპეციალური ბენზინები
09221000,ვაზელინი და ნავთობის ცვილი
09221100,ვაზელინი
09221200,პარაფინის ცვილი
09221300,ნავთობის ცვილი
09221400,ნავთობის ნარჩენები
09222000,სპეციალური ბენზინები
09222100,უაიტსპირიტი
09230000,ნავთობი (ნედლი)
09240000,ნავთობთან და ქვანახშირთან დაკავშირებული პროდუქტები
09241000,ბიტუმის ან ნავთობის შემცველი ფიქალი
09242000,ქვანახშირთან დაკავშირებული პროდუქტები
09242100,ქვანახშირის ნავთობი
09300000,ელექტროენერგია გათბობა მზისა და ბირთვული ენერგია
09310000,ელექტროენერგია
09320000,ორთქლი ცხელი წყალი და თანმხლები პროდუქტები
09321000,ცხელი წყალი
09322000,ორთქლი
09323000,თბომომარაგება
09324000,ცენტრალური გათბობა
09330000,მზის ენერგია
09331000,მზის პანელები
09331100,მზის სხივების შემკრები თბოწარმოებისთვის
09331200,მზის ფოტოელექტრონული მოდულები
09332000,მზის პანელების დამონტაჟება
09340000,ბირთვული საწვავი
09341000,ურანი
09342000,პლუტონიუმი
09343000,რადიოაქტიული ნივთიერებები
09344000,რადიოიზოტოპები
14000000,სამთო მრეწველობა მთავარი ლითონები და მონათესავე პროდუქტები
14200000,ქვიშა და თიხა
14210000,ხრეში ქვიშა ღორღი და ქვის (ინერტული) მასალა
14211000,ქვიშა
14211100,ბუნებრივი ქვიშა
14212000,გრანულები ნაფხვენები წმინდა ქვიშა კენჭები ხრეში ღორღი ქვა-ხრეშის ნარევი ქვიშა-ხრეშის ნარევი და ქვის სხვა (ინერტული) მასალა
14212100,კაჭარი და ხრეში
14212110,კაჭარი
14212120,ხრეში
14212200,ქვის (ინერტული) მასალა
14212210,ქვიშა-ხრეშის ნარევი
14212300,ნატეხი და ნამსხვრევი ქვა
14212310,ბალასტი
14212320,ნამსხვრევი გრანიტი
14212330,ნამსხვრევი ბაზალტი
14212400,მიწა
14212410,ნიადაგის ზედა ფენა
14212420,ნიადაგის ქვედა ფენა
14212430,ნაფხვენი ქვა
14213000,მაკადამი (ასფალტ-ბეტონი) კუპრ-ბეტონი და ბიტუმიზებული ქვიშა
14213100,მაკადამი
14213200,კუპრ-ბეტონი
14213300,ბიტუმიზებული ქვიშა
14220000,თიხა და კაოლინი (თიხა-თეთრი)
14221000,თიხა
14222000,კაოლინი
14300000,ქიმიური და სასუქი მინერალები
14310000,სასუქი მინერალები
14311000,ბუნებრივი კალციუმი ალუმინ-კალციუმის ფოსფატი და ნედლი/დაუმუშავებელი ბუნებრივი კალიუმის მარილები
14311100,ბუნებრივი კალციუმი
14311200,ალუმინ-კალციუმის ფოსფატები
14311300,ნედლი ბუნებრივი კალიუმის მარილები
14312000,რკინის ალმადანი
14312100,გამოუწვავი რკინის ალმადანი
14320000,ქიმიური მინერალები
14400000,მარილისა და სუფთა ნატრიუმის ქლორიდი
14410000,კლდის მარილი
14420000,ზღვის მარილი
14430000,გამოხდილი მარილისა და სუფთა ნატრიუმის ქლორიდი
14450000,მარილწყალი
14500000,სამთო მრეწველობასა და კარიერის დამუშავებასთან დაკავშირებული პროდუქტები
14520000,ძვირფასი და ნახევრად ძვირფასი ქვები პემზის ქვა ზუმფარა ბუნებრივი სახეხები სხვა მინერალები და ძვირფასი ლითონები
14521000,ძვირფასი და ნახევრად ძვირფასი ქვები
14521100,ძვირფასი ქვები
14521140,ძვირფასი ქვების მტვერი ან ფხვნილი
14521200,ნახევრად ძვირფასი ქვები
14521210,ნახევრად ძვირფასი ქვების მტვერი ან ფხვნილი
14522000,ტექნიკური ალმასი პემზის ქვა ზუმფარა და სხვა ბუნებრივი სახეხები
14522100,პემზის ქვა (მინქაფა)
14522200,ტექნიკური ალმასი
14522300,ზუმფარა
14522400,ბუნებრივი სახეხები/აბრაზივები
14523000,დაკავშირებული მინერალები ძვირფასი ლითონები და მონათესავე პროდუქტები
14523100,მინერალები
14523200,ოქრო
14523300,ვერცხლი
14523400,პლატინა
14600000,ლითონის მადანი და შენადნობები
14610000,ლითონის მადანი
14611000,რკინის მადანი
14612000,ფერადი ლითონის მადანი
14612100,სპილენძის მადანი
14612200,ნიკელის მადანი
14612300,ალუმინის მადანი
14612400,ძვირფასი ლითონების მადანი
14612500,ტყვიის მადანი
14612600,თუთიის მადანი
14612700,კალის მადანი
14613000,ურანისა და თორიუმის მადანი
14613100,ურანის მადანი
14613200,თორიუმის მადანი
14614000,სხვადასხვა მადანი
14620000,შენადნობები
14621000,ფეროშენადნობები
14621100,ფეროშენადნობები რომლებიც არ არის გათვალისწინებული ”ქვანახშირისა და ფოლადის ევროპული გაერთიანების კლასიფიკაციით”
14621110,ფერომანგანუმი
14621120,ფეროქრომი
14621130,ფერონიკელი
14622000,ფოლადი
14630000,წიდა ხენჯი ჯართი და ნამსხვრევები
14700000,ძირითადი ლითონები
14710000,რკინა ტყვია თუთია კალა და სპილენძი
14711000,რკინა
14711100,თუჯი
14712000,ტყვია
14713000,თუთია
14714000,კალა
14715000,სპილენძი
14720000,ალუმინი ნიკელი სკანდიუმი ტიტანი და ვანადიუმი
14721000,ალუმინი
14721100,ალუმინის ოქსიდი
14722000,ნიკელი
14723000,სკანდიუმი
14724000,ტიტანი
14725000,ვანადიუმი
14730000,ქრომი მანგანუმი კობალტი იტრიუმი და ცირკონიუმი
14731000,ქრომი
14732000,მანგანუმი
14733000,კობალტი
14734000,იტრიუმი
14735000,ცირკონიუმი
14740000,მოლიბდენი ტექნეციუმი რუთენიუმი და როდიუმი
14741000,მოლიბდენი
14742000,ტექნეციუმი
14743000,რუთენიუმი
14744000,როდიუმი
14750000,კადმიუმი ლუტეციუმი ჰაფნიუმი ტანტალი და ვოლფრამი
14751000,კადმიუმი
14752000,ლუტეციუმი
14753000,ჰაფნიუმი
14754000,ტანტალი
14755000,ვოლფრამი
14760000,ირიდიუმი გალიუმი ინდიუმი თალიუმი და ბორი
14761000,ირიდიუმი
14762000,გალიუმი
14763000,ინდიუმი
14764000,თალიუმი
14765000,ბორი
14770000,ცეზიუმი სტრონციუმი რუბიდიუმი და კალციუმი
14771000,ცეზიუმი
14772000,სტრონციუმი
14773000,რუბიდიუმი
14774000,კალციუმი
14780000,კალიუმი მაგნიუმი ნატრიუმი და ლითიუმი
14781000,კალიუმი
14782000,მაგნიუმი
14783000,ნატრიუმი
14784000,ლითიუმი
14790000,ნიობიუმი ოსმიუმი რენიუმი და პალადიუმი
14791000,ნიობიუმი
14792000,ოსმიუმი
14793000,რენიუმი
14794000,პალადიუმი
14800000,სხვადასხვა არალითონური მინერალური პროდუქტი
14810000,სახეხი პროდუქტები
14811000,კაჟი სალესი ქვა და სალესი ბორბალი
14811100,კაჟი
14811200,სალესი ქვა
14811300,სალესი ბორბალი
14812000,სახეხი ფხვნილი ან მარცვლები
14813000,ხელოვნური კორუნდი
14814000,ხელოვნური გრაფიტი
14820000,მინა
14830000,მინა-ბოჭკო
14900000,აღდგენილი მეორადი ნედლეული
14910000,აღდგენილი მეორადი ლითონის ნედლეული
14920000,აღდგენილი მეორადი არალითონის ნედლეული
14930000,ნაცარი და ლითონშემცველი ნარჩენები
15000000,საკვები სასმელები თამბაქო და მონათესავე პროდუქტები
15100000,ცხოველური წარმოშობის პროდუქტები ხორცი და ხორცის პროდუქტები
15110000,ხორცი
15111000,მსხვილფეხა რქოსანი პირუტყვის ხორცი
15111100,საქონლის ხორცი
15111200,ხბოს ხორცი
15112000,(შინაური) ფრინველის ხორცი
15112100,ახალი (გაუყინავი შინაური) ფრინველის ხორცი
15112110,ბატის ხორცი
15112120,ინდაურის ხორცი
15112130,ქათმის ხორცი
15112140,იხვის ხორცი
15112300,(შინაური) ფრინველის ღვიძლი
15112310,ფუა-გრა
15113000,ღორის ხორცი
15114000,შიგნეული
15115000,ბატკნისა და ცხვრის ხორცი
15115100,ბატკნის ხორცი
15115200,ცხვრის ხორცი
15117000,თხის ხორცი
