Id,Label
1,შპს იგლ ექსპრეს
2,წიგნის სამყარო
3,კარგო ლოჯისთიქს  გრუფ  ჯორჯია
4,შპს სერვისი
5,ახალი მთვარე
6,დიო
7,შპს  სამშენებლო კომპანია გოლდი
8,ოცნება XXI
9,როლანდ ქამადაძე
10,თეგეტა მოტორსი
11,ჯი აი სი ჯორჯია
12,ორიენტ ლოჯიკ
13,ზიქრი ფუტკარაძე
14,გიორგი ვართანოვი
15,კორუ
16,შპს მარშე
17,სილქნეტი
18,ბელუქსი
19,შპს ,,ექსბი"
20,რევაზი სანაია
21,შპს „ირაკლი“
22,შ.პ.ს. "ლეკო"
23,სს "ბეჭდვითი სიტყვის კომბინატი"
24,კობა ლომიძე
25,ელ+
26,შპს "ინტეგრა+"
27,ყაზბეგის მუნიციპალიტეტის კეთილმოწყობის, გამწვანებისა და დასუფთავების სამსახური
28,კარენ სტელმაშოვი
29,დავით ჩალათაშვილი
30,"პოლიგრაფი"
31,ქეჩერა
32,ბიარტი +
33,პოლიპრინტი
34,დობერა
35,ლატეკი
36,ინტერლაბი
37,ვესტფარმ
38,შპს E2E4+
39,შპს არადანი ინფო
40,შპს "ელიტელი"
41,ჯეო-შოთ-სელინგ
42,დანი
43,დავითი ბაშალეიშვილი
44,შპს Best Events Catering
45,ჰარმონი ივენთს
46,შ.პ.ს. "ალგორითმი"
47,მაი მობაილ +
48,შპს    VEST
49,ნოვი სტილი ჯორჯია
50,ჯეოონო
51,შპს "ჯორჯიან მიკროსისტემს"
52,მომავალთათვის
53,შპს რიტუალ–ლუქსი
54,ჯეა
55,იმერი-მოტორსი
56,ლალი თურმანიძე
57,ოფის1
58,ნიკოლოზ ნიკოლაშვილი
59,სოსო კოკორაშვილი
60,ნოდარი ბეროშვილი
61,ქეთევან მაღულარია
62,სახანძრო ტექნიკი
63,გელა ჟამუტაშვილი
64,შპს კახეთი 2013
65,გიორგი ჯიბღაშვილი
66,რამაზ  ხაჩირაშვილი
67,შ.პ.ს.  გუგა
68,Geosm
69,კომბიტეკი
70,ავთანდილ ფაჩხატაშვილი
71,ჯი ეს იუნიტი
72,ა-პრო
73,შპს "ტექნო სერვისი"
74,შპს  ფაშა
75,დავით თავაძე
76,შპს MAR-KES
77,თორნიკე
78,შპს EMI
79,კანც პაპერი
80,კანცელარიის სამყარო
81,შ.პ.ს ,,კონტრაქტმშენი"
82,შპს არგინეთი 2011
83,ვართან მარქაროვი
84,"ფლაგ არტი"
85,შპს აუტოსიტი
